Date,Open,High,Low,Adj Close,Volume
2010-04-09,355.38,357.99,349.28,350.77,3405482.94
2010-04-12,350.5,354.49,350.11,353.65,3238335.1
2010-04-13,354.49,365.04,348.84,363.73,9483990.74
2010-04-15,364.24,369.95,362.93,364.11,4841850.82
2010-04-16,362.91,366.9,359.75,361.18,4300232.22
2010-04-19,358.92,365.57,354.82,359.79,7839692.94
2010-04-20,365.57,368.96,348.73,349.84,13559800.5
2010-04-21,352.28,354.05,345.74,347.85,8019993.24
2010-04-22,349.66,351.68,346.08,348.27,5361093.46
2010-04-23,349.19,350.94,344.52,345.72,4858907.48
2010-04-26,348.29,350.5,345.72,347.89,2835124.34
2010-04-27,348.27,350.02,346.1,348.86,2957764.12
2010-04-28,345.63,347.38,338.98,341.33,2708557.8
2010-04-29,343.46,343.53,334.81,336.66,5216488.54
2010-04-30,338.98,342.43,337.9,339.16,4163997.64
2010-05-03,337.32,341.82,334.15,339.78,2726812.8
2010-05-04,343.35,343.35,335.35,337.21,3267837.88
2010-05-05,332.33,340.31,327.97,339.31,4932435.36
2010-05-06,340.28,341.6,336.41,339.92,2912220.2
2010-05-07,335.43,337.92,325.68,328.53,4814995.22
2010-05-10,336.77,373.55,330.12,341.31,2626673.08
2010-05-11,343.41,345.19,334.06,335.13,1524774.66
2010-05-12,335.43,340.28,332.82,336.52,3091863.78
2010-05-13,339.03,342.61,337.41,339.25,1491108.14
2010-05-14,339.43,344.3,334.55,338.47,2287234.2
2010-05-17,343.39,343.39,325.29,330.45,4199909.66
2010-05-18,330.56,330.56,321.83,325.73,3609910.4
2010-05-19,323.48,324.8,317.4,319.71,4433729.32
2010-05-20,323.03,324.49,317.34,323.48,2705973.8
2010-05-21,314.61,321.66,303.64,318.46,3018536.74
2010-05-24,321.26,323.48,315.81,317.98,3255876.98
2010-05-25,313.73,316.38,306.44,309.98,2592315.96
2010-05-26,313.73,330.03,312.0,327.02,4163140.06
2010-05-27,325.68,332.31,322.23,328.72,7767665.78
2010-05-28,332.25,333.89,325.91,332.69,2797691.24
2010-05-31,331.67,333.62,327.02,329.26,3754885.44
2010-06-01,329.26,333.2,325.56,327.56,3539648.04
2010-06-02,326.93,336.55,326.26,334.22,3124873.6
2010-06-03,336.77,340.75,330.16,339.18,1900692.0
2010-06-04,339.18,341.07,334.64,339.14,1543869.2
2010-06-07,332.29,335.79,326.13,333.78,1957661.94
2010-06-08,334.11,337.66,331.0,332.42,2530092.24
2010-06-09,333.22,336.12,323.92,324.83,5492306.72
2010-06-10,323.48,333.66,323.48,332.56,2026622.14
2010-06-11,337.57,338.23,332.78,336.37,3652613.02
2010-06-14,338.25,348.77,335.88,346.08,4006326.0
2010-06-15,341.41,350.9,341.41,345.67,2928837.62
2010-06-16,350.63,351.91,346.21,349.59,2580698.4
2010-06-17,350.59,354.1,344.58,349.82,1694286.46
2010-06-18,349.82,355.96,348.44,353.38,2466398.44
2010-06-21,357.76,358.25,354.01,355.42,2113733.48
2010-06-22,354.19,354.87,348.91,351.33,1627136.44
2010-06-23,347.43,355.98,347.36,354.78,3279623.14
2010-06-24,354.78,355.77,346.39,348.98,4186081.66
2010-06-25,350.05,350.05,341.15,342.23,2257676.7
2010-06-28,342.22,346.14,341.83,345.05,1277844.7
2010-06-29,345.17,345.17,337.95,340.11,2897461.22
2010-06-30,340.65,342.87,334.46,338.86,3675227.06
2010-07-01,338.4,338.4,327.46,330.28,3776322.16
2010-07-02,331.54,336.6,329.77,335.6,3261921.38
2010-07-05,337.86,337.9,332.58,333.44,2399824.66
2010-07-06,332.31,343.78,332.02,342.53,3059520.6
2010-07-07,343.55,346.25,337.93,344.99,2385793.2
2010-07-08,348.33,351.48,347.27,350.5,2424168.7
2010-07-09,351.94,353.74,347.77,349.43,2035317.96
2010-07-12,351.84,358.25,351.84,357.22,3020593.18
2010-07-13,357.35,357.35,347.22,349.52,6145723.42
2010-07-14,351.03,354.06,347.54,349.52,3140347.5
2010-07-15,347.88,354.15,345.28,352.88,4206057.34
2010-07-16,358.71,378.34,358.71,376.15,21205123.22
2010-07-19,375.15,376.62,371.45,373.01,3355421.2
2010-07-20,373.01,376.55,372.24,373.25,2595377.08
2010-07-21,375.4,381.18,374.32,380.36,3262109.78
2010-07-22,380.36,381.71,375.63,380.68,1510289.94
