Date,Open,High,Low,Close,Adj Close,Volume
2018-07-10,8.71,8.71,8.53,8.59,8.59,95500
2018-07-11,8.56,8.65,8.38,8.46,8.46,117900
2018-07-12,8.5,8.55,8.32,8.39,8.39,91900
2018-07-13,8.39,8.46,8.14,8.17,8.17,99300
2018-07-16,8.17,8.29,7.95,8.1,8.1,170600
2018-07-17,8.1,8.24,8.05,8.22,8.22,149400
2018-07-18,8.2,8.23,8.01,8.05,8.05,70400
2018-07-19,7.98,8.12,7.85,7.91,7.91,169900
2018-07-20,7.88,7.93,7.65,7.72,7.72,319500
2018-07-23,7.74,7.78,7.2,7.26,7.26,264200
